metric_name,Date,day_score
311 CALL CENTER PERFORMANCE,1/1/2018,1.052631579
311 CONSTITUENT EXPERIENCE SURVEYS,1/1/2018,NA
BFD INCIDENTS,1/1/2018,NA
BFD RESPONSE TIME,1/1/2018,NA
CITY SERVICES SATISFACTION SURVEYS,1/1/2018,0.25
CODE ENFORCEMENT ON-TIME %,1/1/2018,1.191176471
CODE ENFORCEMENT TRASH COLLECTION,1/1/2018,1.25
GRAFFITI ON-TIME %,1/1/2018,NA
MISSED TRASH ON-TIME %,1/1/2018,NA
PARKS MAINTENANCE ON-TIME %,1/1/2018,NA
POTHOLE ON-TIME %,1/1/2018,NA
SIGN INSTALLATION ON-TIME %,1/1/2018,NA
SIGNAL REPAIR ON-TIME %,1/1/2018,NA
STREETLIGHT ON-TIME %,1/1/2018,1.25
TREE MAINTENANCE ON-TIME %,1/1/2018,NA
311 CALL CENTER PERFORMANCE,1/2/2018,0.93883357
311 CONSTITUENT EXPERIENCE SURVEYS,1/2/2018,NA
BFD INCIDENTS,1/2/2018,5.315646259
BFD RESPONSE TIME,1/2/2018,0.942760943
CITY SERVICES SATISFACTION SURVEYS,1/2/2018,NA
CODE ENFORCEMENT ON-TIME %,1/2/2018,1.213942308
CODE ENFORCEMENT TRASH COLLECTION,1/2/2018,0.104166667
EMS RESPONSE TIME,1/2/2018,0.972972447
GRAFFITI ON-TIME %,1/2/2018,NA
MISSED TRASH ON-TIME %,1/2/2018,1.25
PARKS MAINTENANCE ON-TIME %,1/2/2018,1.25
POTHOLE ON-TIME %,1/2/2018,NA
SIGN INSTALLATION ON-TIME %,1/2/2018,NA
SIGNAL REPAIR ON-TIME %,1/2/2018,1.25
STREETLIGHT ON-TIME %,1/2/2018,NA
TREE MAINTENANCE ON-TIME %,1/2/2018,NA
311 CALL CENTER PERFORMANCE,1/3/2018,0.990712074
311 CONSTITUENT EXPERIENCE SURVEYS,1/3/2018,NA
BFD INCIDENTS,1/3/2018,NA
BFD RESPONSE TIME,1/3/2018,NA
BPS ATTENDANCE,1/3/2018,NA
CITY SERVICES SATISFACTION SURVEYS,1/3/2018,0.25
CODE ENFORCEMENT ON-TIME %,1/3/2018,1.157407407
CODE ENFORCEMENT TRASH COLLECTION,1/3/2018,1.057692308
GRAFFITI ON-TIME %,1/3/2018,NA
HOMICIDES (TREND),1/3/2018,NA
LIBRARY USERS,1/3/2018,1.306967674
MISSED TRASH ON-TIME %,1/3/2018,0.951086957
PARKS MAINTENANCE ON-TIME %,1/3/2018,0.326086957
PART 1 CRIMES,1/3/2018,2
POTHOLE ON-TIME %,1/3/2018,0.208333333
SHOOTINGS (TREND),1/3/2018,NA
SIGN INSTALLATION ON-TIME %,1/3/2018,0
SIGNAL REPAIR ON-TIME %,1/3/2018,1.25
STABBINGS (TREND),1/3/2018,1.333333333
STREETLIGHT ON-TIME %,1/3/2018,NA
TREE MAINTENANCE ON-TIME %,1/3/2018,1.25
311 CALL CENTER PERFORMANCE,1/4/2018,0.877192982
311 CONSTITUENT EXPERIENCE SURVEYS,1/4/2018,NA
BFD INCIDENTS,1/4/2018,8.859410431
BFD RESPONSE TIME,1/4/2018,1.025641026
BPS ATTENDANCE,1/4/2018,NA
CITY SERVICES SATISFACTION SURVEYS,1/4/2018,0.65
CODE ENFORCEMENT ON-TIME %,1/4/2018,1.213054187
CODE ENFORCEMENT TRASH COLLECTION,1/4/2018,1.1875
EMS RESPONSE TIME,1/4/2018,1.323530385
GRAFFITI ON-TIME %,1/4/2018,NA
HOMICIDES (TREND),1/4/2018,NA
LIBRARY USERS,1/4/2018,1.309262732
MISSED TRASH ON-TIME %,1/4/2018,1.25
PARKS MAINTENANCE ON-TIME %,1/4/2018,0.666666667
PART 1 CRIMES,1/4/2018,1.571428571
POTHOLE ON-TIME %,1/4/2018,0.15625
SHOOTINGS (TREND),1/4/2018,NA
SIGN INSTALLATION ON-TIME %,1/4/2018,0.892857143
SIGNAL REPAIR ON-TIME %,1/4/2018,1.176470588
STABBINGS (TREND),1/4/2018,1.333333333
STREETLIGHT ON-TIME %,1/4/2018,0.588235294
TREE MAINTENANCE ON-TIME %,1/4/2018,NA
311 CALL CENTER PERFORMANCE,1/5/2018,0.756578947
311 CONSTITUENT EXPERIENCE SURVEYS,1/5/2018,NA
BFD INCIDENTS,1/5/2018,6.890652557
BFD RESPONSE TIME,1/5/2018,1.01010101
BPS ATTENDANCE,1/5/2018,NA
CITY SERVICES SATISFACTION SURVEYS,1/5/2018,0.45
CODE ENFORCEMENT ON-TIME %,1/5/2018,1.215277778
CODE ENFORCEMENT TRASH COLLECTION,1/5/2018,1.25
EMS RESPONSE TIME,1/5/2018,0.966443472
GRAFFITI ON-TIME %,1/5/2018,NA
HOMICIDES (TREND),1/5/2018,NA
LIBRARY USERS,1/5/2018,0.794224856
MISSED TRASH ON-TIME %,1/5/2018,1.25
PARKS MAINTENANCE ON-TIME %,1/5/2018,1.09375
PART 1 CRIMES,1/5/2018,3.384615385
POTHOLE ON-TIME %,1/5/2018,NA
SHOOTINGS (TREND),1/5/2018,NA
SIGN INSTALLATION ON-TIME %,1/5/2018,NA
SIGNAL REPAIR ON-TIME %,1/5/2018,1.25
STABBINGS (TREND),1/5/2018,0.666666667
STREETLIGHT ON-TIME %,1/5/2018,1.25
TREE MAINTENANCE ON-TIME %,1/5/2018,NA
311 CALL CENTER PERFORMANCE,1/6/2018,0.469924812
311 CONSTITUENT EXPERIENCE SURVEYS,1/6/2018,NA
BFD INCIDENTS,1/6/2018,8.859410431
BFD RESPONSE TIME,1/6/2018,0.944444444
BPS ATTENDANCE,1/6/2018,NA
CITY SERVICES SATISFACTION SURVEYS,1/6/2018,0.681818182
CODE ENFORCEMENT ON-TIME %,1/6/2018,1.241883117
CODE ENFORCEMENT TRASH COLLECTION,1/6/2018,NA
EMS RESPONSE TIME,1/6/2018,1.216217038
GRAFFITI ON-TIME %,1/6/2018,NA
HOMICIDES (TREND),1/6/2018,NA
LIBRARY USERS,1/6/2018,1.050326258
MISSED TRASH ON-TIME %,1/6/2018,1.108490566
PARKS MAINTENANCE ON-TIME %,1/6/2018,1.25
PART 1 CRIMES,1/6/2018,2.315789474
POTHOLE ON-TIME %,1/6/2018,1.25
SHOOTINGS (TREND),1/6/2018,NA
SIGN INSTALLATION ON-TIME %,1/6/2018,NA
SIGNAL REPAIR ON-TIME %,1/6/2018,1.25
STABBINGS (TREND),1/6/2018,NA
STREETLIGHT ON-TIME %,1/6/2018,0.5
TREE MAINTENANCE ON-TIME %,1/6/2018,NA
311 CALL CENTER PERFORMANCE,1/7/2018,1.015037594
311 CONSTITUENT EXPERIENCE SURVEYS,1/7/2018,NA
BFD INCIDENTS,1/7/2018,NA
BFD RESPONSE TIME,1/7/2018,NA
BPS ATTENDANCE,1/7/2018,NA
CITY SERVICES SATISFACTION SURVEYS,1/7/2018,0.78125
CODE ENFORCEMENT ON-TIME %,1/7/2018,1.23046875
CODE ENFORCEMENT TRASH COLLECTION,1/7/2018,NA
GRAFFITI ON-TIME %,1/7/2018,NA
HOMICIDES (TREND),1/7/2018,NA
LIBRARY USERS,1/7/2018,1.137673442
MISSED TRASH ON-TIME %,1/7/2018,1.233660131
PARKS MAINTENANCE ON-TIME %,1/7/2018,0.46875
PART 1 CRIMES,1/7/2018,2.588235294
POTHOLE ON-TIME %,1/7/2018,NA
SHOOTINGS (TREND),1/7/2018,NA
SIGN INSTALLATION ON-TIME %,1/7/2018,NA
SIGNAL REPAIR ON-TIME %,1/7/2018,1.25
STABBINGS (TREND),1/7/2018,1.333333333
STREETLIGHT ON-TIME %,1/7/2018,NA
TREE MAINTENANCE ON-TIME %,1/7/2018,NA
311 CALL CENTER PERFORMANCE,1/8/2018,NA
311 CONSTITUENT EXPERIENCE SURVEYS,1/8/2018,NA
BFD INCIDENTS,1/8/2018,NA
BFD RESPONSE TIME,1/8/2018,NA
BPS ATTENDANCE,1/8/2018,NA
CITY SERVICES SATISFACTION SURVEYS,1/8/2018,0.545454545
CODE ENFORCEMENT ON-TIME %,1/8/2018,1.222741433
CODE ENFORCEMENT TRASH COLLECTION,1/8/2018,NA
GRAFFITI ON-TIME %,1/8/2018,NA
HOMICIDES (TREND),1/8/2018,NA
LIBRARY USERS,1/8/2018,0.936385621
MISSED TRASH ON-TIME %,1/8/2018,1.225490196
PARKS MAINTENANCE ON-TIME %,1/8/2018,0.625
PART 1 CRIMES,1/8/2018,2.371882086
POTHOLE ON-TIME %,1/8/2018,NA
SHOOTINGS (TREND),1/8/2018,NA
SIGN INSTALLATION ON-TIME %,1/8/2018,NA
SIGNAL REPAIR ON-TIME %,1/8/2018,1.25
STABBINGS (TREND),1/8/2018,1.571428571
STREETLIGHT ON-TIME %,1/8/2018,NA
TREE MAINTENANCE ON-TIME %,1/8/2018,NA
311 CALL CENTER PERFORMANCE,1/9/2018,1.052631579
311 CONSTITUENT EXPERIENCE SURVEYS,1/9/2018,NA
BFD INCIDENTS,1/9/2018,7.009852217
BFD RESPONSE TIME,1/9/2018,1
BPS ATTENDANCE,1/9/2018,NA
CITY SERVICES SATISFACTION SURVEYS,1/9/2018,0.361111111
CODE ENFORCEMENT ON-TIME %,1/9/2018,0.996121298
CODE ENFORCEMENT TRASH COLLECTION,1/9/2018,NA
EMS RESPONSE TIME,1/9/2018,0.8089884
GRAFFITI ON-TIME %,1/9/2018,NA
HOMICIDES (TREND),1/9/2018,NA
LIBRARY USERS,1/9/2018,1.181087839
MISSED TRASH ON-TIME %,1/9/2018,1.212871287
PARKS MAINTENANCE ON-TIME %,1/9/2018,1.25
PART 1 CRIMES,1/9/2018,1.717569787
POTHOLE ON-TIME %,1/9/2018,NA
SHOOTINGS (TREND),1/9/2018,0.666666667
SIGN INSTALLATION ON-TIME %,1/9/2018,0.75
SIGNAL REPAIR ON-TIME %,1/9/2018,1.102941176
STABBINGS (TREND),1/9/2018,0.523809524
STREETLIGHT ON-TIME %,1/9/2018,1
TREE MAINTENANCE ON-TIME %,1/9/2018,NA
311 CALL CENTER PERFORMANCE,1/10/2018,1.012145749
311 CONSTITUENT EXPERIENCE SURVEYS,1/10/2018,NA
BFD INCIDENTS,1/10/2018,NA
BFD RESPONSE TIME,1/10/2018,NA
BPS ATTENDANCE,1/10/2018,NA
CITY SERVICES SATISFACTION SURVEYS,1/10/2018,0.520833333
CODE ENFORCEMENT ON-TIME %,1/10/2018,0.887245841
CODE ENFORCEMENT TRASH COLLECTION,1/10/2018,0.104166667
GRAFFITI ON-TIME %,1/10/2018,NA
HOMICIDES (TREND),1/10/2018,NA
LIBRARY USERS,1/10/2018,1.179981145
MISSED TRASH ON-TIME %,1/10/2018,1.154891304
PARKS MAINTENANCE ON-TIME %,1/10/2018,1.25
PART 1 CRIMES,1/10/2018,1.464985994
POTHOLE ON-TIME %,1/10/2018,NA
SHOOTINGS (TREND),1/10/2018,0.666666667
SIGN INSTALLATION ON-TIME %,1/10/2018,1.25
SIGNAL REPAIR ON-TIME %,1/10/2018,1.25
STABBINGS (TREND),1/10/2018,1.571428571
STREETLIGHT ON-TIME %,1/10/2018,0.625
TREE MAINTENANCE ON-TIME %,1/10/2018,1.25
311 CALL CENTER PERFORMANCE,1/11/2018,0.964912281
311 CONSTITUENT EXPERIENCE SURVEYS,1/11/2018,NA
BFD INCIDENTS,1/11/2018,13.55238095
BFD RESPONSE TIME,1/11/2018,1.01010101
BPS ATTENDANCE,1/11/2018,NA
CITY SERVICES SATISFACTION SURVEYS,1/11/2018,0.525
CODE ENFORCEMENT ON-TIME %,1/11/2018,1.008460699
CODE ENFORCEMENT TRASH COLLECTION,1/11/2018,1.25
EMS RESPONSE TIME,1/11/2018,1.014083936
GRAFFITI ON-TIME %,1/11/2018,NA
HOMICIDES (TREND),1/11/2018,NA
LIBRARY USERS,1/11/2018,1.134483748
MISSED TRASH ON-TIME %,1/11/2018,0.98125
PARKS MAINTENANCE ON-TIME %,1/11/2018,0.972222222
PART 1 CRIMES,1/11/2018,2.075396825
POTHOLE ON-TIME %,1/11/2018,0.625
SHOOTINGS (TREND),1/11/2018,NA
SIGN INSTALLATION ON-TIME %,1/11/2018,0.75
SIGNAL REPAIR ON-TIME %,1/11/2018,1.25
STABBINGS (TREND),1/11/2018,NA
STREETLIGHT ON-TIME %,1/11/2018,0.97826087
TREE MAINTENANCE ON-TIME %,1/11/2018,1.25
311 CALL CENTER PERFORMANCE,1/12/2018,1.052631579
311 CONSTITUENT EXPERIENCE SURVEYS,1/12/2018,NA
BFD INCIDENTS,1/12/2018,15.63736264
BFD RESPONSE TIME,1/12/2018,1.111111111
BPS ATTENDANCE,1/12/2018,NA
CITY SERVICES SATISFACTION SURVEYS,1/12/2018,0.636363636
CODE ENFORCEMENT ON-TIME %,1/12/2018,0.919421488
CODE ENFORCEMENT TRASH COLLECTION,1/12/2018,1.25
EMS RESPONSE TIME,1/12/2018,0.767590291
GRAFFITI ON-TIME %,1/12/2018,NA
HOMICIDES (TREND),1/12/2018,NA
LIBRARY USERS,1/12/2018,0.989138009
MISSED TRASH ON-TIME %,1/12/2018,0.66314554
PARKS MAINTENANCE ON-TIME %,1/12/2018,0.916666667
PART 1 CRIMES,1/12/2018,1.383597884
POTHOLE ON-TIME %,1/12/2018,0.3125
SHOOTINGS (TREND),1/12/2018,0.666666667
SIGN INSTALLATION ON-TIME %,1/12/2018,1.25
SIGNAL REPAIR ON-TIME %,1/12/2018,1.071428571
STABBINGS (TREND),1/12/2018,0.785714286
STREETLIGHT ON-TIME %,1/12/2018,0.892857143
TREE MAINTENANCE ON-TIME %,1/12/2018,1.25
311 CALL CENTER PERFORMANCE,1/13/2018,1.052631579
311 CONSTITUENT EXPERIENCE SURVEYS,1/13/2018,NA
BFD INCIDENTS,1/13/2018,11.29365079
BFD RESPONSE TIME,1/13/2018,0.972222222
BPS ATTENDANCE,1/13/2018,NA
CITY SERVICES SATISFACTION SURVEYS,1/13/2018,0.916666667
CODE ENFORCEMENT ON-TIME %,1/13/2018,0.772332506
CODE ENFORCEMENT TRASH COLLECTION,1/13/2018,0.138888889
EMS RESPONSE TIME,1/13/2018,1.107691626
GRAFFITI ON-TIME %,1/13/2018,NA
HOMICIDES (TREND),1/13/2018,NA
LIBRARY USERS,1/13/2018,0.886830348
MISSED TRASH ON-TIME %,1/13/2018,1.009933775
PARKS MAINTENANCE ON-TIME %,1/13/2018,0.921052632
PART 1 CRIMES,1/13/2018,2.264069264
POTHOLE ON-TIME %,1/13/2018,0.625
SHOOTINGS (TREND),1/13/2018,0.666666667
SIGN INSTALLATION ON-TIME %,1/13/2018,0.625
SIGNAL REPAIR ON-TIME %,1/13/2018,1.25
STABBINGS (TREND),1/13/2018,0.785714286
STREETLIGHT ON-TIME %,1/13/2018,1.09375
TREE MAINTENANCE ON-TIME %,1/13/2018,1.153846154
311 CALL CENTER PERFORMANCE,1/14/2018,0.974658869
311 CONSTITUENT EXPERIENCE SURVEYS,1/14/2018,1
BFD INCIDENTS,1/14/2018,NA
BFD RESPONSE TIME,1/14/2018,NA
BPS ATTENDANCE,1/14/2018,NA
CITY SERVICES SATISFACTION SURVEYS,1/14/2018,0.25
CODE ENFORCEMENT ON-TIME %,1/14/2018,NA
CODE ENFORCEMENT TRASH COLLECTION,1/14/2018,NA
GRAFFITI ON-TIME %,1/14/2018,NA
HOMICIDES (TREND),1/14/2018,NA
LIBRARY USERS,1/14/2018,1.075951961
MISSED TRASH ON-TIME %,1/14/2018,1.25
PARKS MAINTENANCE ON-TIME %,1/14/2018,0.625
PART 1 CRIMES,1/14/2018,1.606758833
POTHOLE ON-TIME %,1/14/2018,0.625
SHOOTINGS (TREND),1/14/2018,NA
SIGN INSTALLATION ON-TIME %,1/14/2018,NA
SIGNAL REPAIR ON-TIME %,1/14/2018,1.25
STABBINGS (TREND),1/14/2018,0.785714286
STREETLIGHT ON-TIME %,1/14/2018,NA
TREE MAINTENANCE ON-TIME %,1/14/2018,NA
311 CALL CENTER PERFORMANCE,1/15/2018,0.736842105
311 CONSTITUENT EXPERIENCE SURVEYS,1/15/2018,0.5
BFD INCIDENTS,1/15/2018,NA
BFD RESPONSE TIME,1/15/2018,NA
BPS ATTENDANCE,1/15/2018,NA
CITY SERVICES SATISFACTION SURVEYS,1/15/2018,0.8125
CODE ENFORCEMENT ON-TIME %,1/15/2018,0.699838188
CODE ENFORCEMENT TRASH COLLECTION,1/15/2018,1.25
GRAFFITI ON-TIME %,1/15/2018,NA
HOMICIDES (TREND),1/15/2018,NA
LIBRARY USERS,1/15/2018,0.79153809
MISSED TRASH ON-TIME %,1/15/2018,NA
PARKS MAINTENANCE ON-TIME %,1/15/2018,NA
PART 1 CRIMES,1/15/2018,1.53015873
POTHOLE ON-TIME %,1/15/2018,1.022727273
SHOOTINGS (TREND),1/15/2018,0.857142857
SIGN INSTALLATION ON-TIME %,1/15/2018,NA
SIGNAL REPAIR ON-TIME %,1/15/2018,1.180555556
STABBINGS (TREND),1/15/2018,NA
STREETLIGHT ON-TIME %,1/15/2018,0.833333333
TREE MAINTENANCE ON-TIME %,1/15/2018,NA
311 CALL CENTER PERFORMANCE,1/16/2018,1.052631579
311 CONSTITUENT EXPERIENCE SURVEYS,1/16/2018,1.25
BFD INCIDENTS,1/16/2018,NA
BFD RESPONSE TIME,1/16/2018,NA
BPS ATTENDANCE,1/16/2018,NA
CITY SERVICES SATISFACTION SURVEYS,1/16/2018,1
CODE ENFORCEMENT ON-TIME %,1/16/2018,1.123595506
CODE ENFORCEMENT TRASH COLLECTION,1/16/2018,NA
GRAFFITI ON-TIME %,1/16/2018,NA
HOMICIDES (TREND),1/16/2018,NA
LIBRARY USERS,1/16/2018,0.775458272
MISSED TRASH ON-TIME %,1/16/2018,1.046511628
PARKS MAINTENANCE ON-TIME %,1/16/2018,NA
PART 1 CRIMES,1/16/2018,1.480798771
POTHOLE ON-TIME %,1/16/2018,1.144067797
SHOOTINGS (TREND),1/16/2018,NA
SIGN INSTALLATION ON-TIME %,1/16/2018,NA
SIGNAL REPAIR ON-TIME %,1/16/2018,0.520833333
STABBINGS (TREND),1/16/2018,1.619047619
STREETLIGHT ON-TIME %,1/16/2018,1.25
TREE MAINTENANCE ON-TIME %,1/16/2018,NA
311 CALL CENTER PERFORMANCE,1/17/2018,1.052631579
311 CONSTITUENT EXPERIENCE SURVEYS,1/17/2018,NA
BFD INCIDENTS,1/17/2018,12.03703704
BFD RESPONSE TIME,1/17/2018,1.111111111
BPS ATTENDANCE,1/17/2018,NA
CITY SERVICES SATISFACTION SURVEYS,1/17/2018,0.931818182
CODE ENFORCEMENT ON-TIME %,1/17/2018,1.011450382
CODE ENFORCEMENT TRASH COLLECTION,1/17/2018,0.755813953
EMS RESPONSE TIME,1/17/2018,1.018386977
GRAFFITI ON-TIME %,1/17/2018,NA
HOMICIDES (TREND),1/17/2018,NA
LIBRARY USERS,1/17/2018,1.163187408
MISSED TRASH ON-TIME %,1/17/2018,0.75
PARKS MAINTENANCE ON-TIME %,1/17/2018,0.78125
PART 1 CRIMES,1/17/2018,1.350140056
POTHOLE ON-TIME %,1/17/2018,0.519480519
SHOOTINGS (TREND),1/17/2018,NA
SIGN INSTALLATION ON-TIME %,1/17/2018,0.625
SIGNAL REPAIR ON-TIME %,1/17/2018,0.78125
STABBINGS (TREND),1/17/2018,1.619047619
STREETLIGHT ON-TIME %,1/17/2018,1.25
TREE MAINTENANCE ON-TIME %,1/17/2018,1.25
311 CALL CENTER PERFORMANCE,1/18/2018,1.013645224
311 CONSTITUENT EXPERIENCE SURVEYS,1/18/2018,1
BFD INCIDENTS,1/18/2018,15.47619048
BFD RESPONSE TIME,1/18/2018,1.111111111
BPS ATTENDANCE,1/18/2018,NA
CITY SERVICES SATISFACTION SURVEYS,1/18/2018,1.25
CODE ENFORCEMENT ON-TIME %,1/18/2018,1.225961538
CODE ENFORCEMENT TRASH COLLECTION,1/18/2018,NA
EMS RESPONSE TIME,1/18/2018,0.96256736
GRAFFITI ON-TIME %,1/18/2018,NA
HOMICIDES (TREND),1/18/2018,NA
LIBRARY USERS,1/18/2018,1.082546518
MISSED TRASH ON-TIME %,1/18/2018,1.12745098
PARKS MAINTENANCE ON-TIME %,1/18/2018,0.9375
PART 1 CRIMES,1/18/2018,1.391053391
POTHOLE ON-TIME %,1/18/2018,1.25
SHOOTINGS (TREND),1/18/2018,NA
SIGN INSTALLATION ON-TIME %,1/18/2018,1.25
SIGNAL REPAIR ON-TIME %,1/18/2018,1.25
STABBINGS (TREND),1/18/2018,NA
STREETLIGHT ON-TIME %,1/18/2018,0.972222222
TREE MAINTENANCE ON-TIME %,1/18/2018,1.25
311 CALL CENTER PERFORMANCE,1/19/2018,0.971659919
311 CONSTITUENT EXPERIENCE SURVEYS,1/19/2018,NA
BFD INCIDENTS,1/19/2018,18.05555556
BFD RESPONSE TIME,1/19/2018,1.111111111
BPS ATTENDANCE,1/19/2018,NA
CITY SERVICES SATISFACTION SURVEYS,1/19/2018,0.375
CODE ENFORCEMENT ON-TIME %,1/19/2018,1.25
CODE ENFORCEMENT TRASH COLLECTION,1/19/2018,0.833333333
EMS RESPONSE TIME,1/19/2018,0.978261401
GRAFFITI ON-TIME %,1/19/2018,NA
HOMICIDES (TREND),1/19/2018,NA
LIBRARY USERS,1/19/2018,0.990178242
MISSED TRASH ON-TIME %,1/19/2018,1.022727273
PARKS MAINTENANCE ON-TIME %,1/19/2018,1.25
PART 1 CRIMES,1/19/2018,1.240669241
POTHOLE ON-TIME %,1/19/2018,0.684210526
SHOOTINGS (TREND),1/19/2018,0.857142857
SIGN INSTALLATION ON-TIME %,1/19/2018,0.576923077
SIGNAL REPAIR ON-TIME %,1/19/2018,1.25
STABBINGS (TREND),1/19/2018,1.619047619
STREETLIGHT ON-TIME %,1/19/2018,1.25
TREE MAINTENANCE ON-TIME %,1/19/2018,0.625
311 CALL CENTER PERFORMANCE,1/20/2018,1.052631579
311 CONSTITUENT EXPERIENCE SURVEYS,1/20/2018,NA
BFD INCIDENTS,1/20/2018,15.47619048
BFD RESPONSE TIME,1/20/2018,1.111111111
BPS ATTENDANCE,1/20/2018,NA
CITY SERVICES SATISFACTION SURVEYS,1/20/2018,0.5625
CODE ENFORCEMENT ON-TIME %,1/20/2018,1.239837398
CODE ENFORCEMENT TRASH COLLECTION,1/20/2018,0.70754717
EMS RESPONSE TIME,1/20/2018,1.157557015
GRAFFITI ON-TIME %,1/20/2018,NA
HOMICIDES (TREND),1/20/2018,NA
LIBRARY USERS,1/20/2018,0.888742401
MISSED TRASH ON-TIME %,1/20/2018,1.1875
PARKS MAINTENANCE ON-TIME %,1/20/2018,0.694444444
PART 1 CRIMES,1/20/2018,1.240669241
POTHOLE ON-TIME %,1/20/2018,0.811403509
SHOOTINGS (TREND),1/20/2018,NA
SIGN INSTALLATION ON-TIME %,1/20/2018,0.714285714
SIGNAL REPAIR ON-TIME %,1/20/2018,1.25
STABBINGS (TREND),1/20/2018,1.619047619
STREETLIGHT ON-TIME %,1/20/2018,0.480769231
TREE MAINTENANCE ON-TIME %,1/20/2018,1.25
311 CALL CENTER PERFORMANCE,1/21/2018,1.052631579
311 CONSTITUENT EXPERIENCE SURVEYS,1/21/2018,NA
BFD INCIDENTS,1/21/2018,NA
BFD RESPONSE TIME,1/21/2018,NA
BPS ATTENDANCE,1/21/2018,NA
CITY SERVICES SATISFACTION SURVEYS,1/21/2018,0.75
CODE ENFORCEMENT ON-TIME %,1/21/2018,1.25
CODE ENFORCEMENT TRASH COLLECTION,1/21/2018,1.25
GRAFFITI ON-TIME %,1/21/2018,NA
HOMICIDES (TREND),1/21/2018,NA
LIBRARY USERS,1/21/2018,1.064290485
MISSED TRASH ON-TIME %,1/21/2018,1.220238095
PARKS MAINTENANCE ON-TIME %,1/21/2018,1.25
PART 1 CRIMES,1/21/2018,1.53015873
POTHOLE ON-TIME %,1/21/2018,NA
SHOOTINGS (TREND),1/21/2018,0.857142857
SIGN INSTALLATION ON-TIME %,1/21/2018,NA
SIGNAL REPAIR ON-TIME %,1/21/2018,1.25
STABBINGS (TREND),1/21/2018,0.53968254
STREETLIGHT ON-TIME %,1/21/2018,1.25
TREE MAINTENANCE ON-TIME %,1/21/2018,NA
311 CALL CENTER PERFORMANCE,1/22/2018,0.842105263
311 CONSTITUENT EXPERIENCE SURVEYS,1/22/2018,NA
BFD INCIDENTS,1/22/2018,NA
BFD RESPONSE TIME,1/22/2018,NA
BPS ATTENDANCE,1/22/2018,NA
CITY SERVICES SATISFACTION SURVEYS,1/22/2018,1.25
CODE ENFORCEMENT ON-TIME %,1/22/2018,1.25
CODE ENFORCEMENT TRASH COLLECTION,1/22/2018,0.714285714
GRAFFITI ON-TIME %,1/22/2018,NA
HOMICIDES (TREND),1/22/2018,NA
LIBRARY USERS,1/22/2018,0.869959897
MISSED TRASH ON-TIME %,1/22/2018,NA
PARKS MAINTENANCE ON-TIME %,1/22/2018,NA
PART 1 CRIMES,1/22/2018,1.620634921
POTHOLE ON-TIME %,1/22/2018,NA
SHOOTINGS (TREND),1/22/2018,NA
SIGN INSTALLATION ON-TIME %,1/22/2018,NA
SIGNAL REPAIR ON-TIME %,1/22/2018,1.153846154
STABBINGS (TREND),1/22/2018,0.857142857
STREETLIGHT ON-TIME %,1/22/2018,NA
TREE MAINTENANCE ON-TIME %,1/22/2018,NA
311 CALL CENTER PERFORMANCE,1/23/2018,1.052631579
311 CONSTITUENT EXPERIENCE SURVEYS,1/23/2018,1.25
BFD INCIDENTS,1/23/2018,25.5297619
BFD RESPONSE TIME,1/23/2018,1.111111111
BPS ATTENDANCE,1/23/2018,NA
CITY SERVICES SATISFACTION SURVEYS,1/23/2018,0.75
CODE ENFORCEMENT ON-TIME %,1/23/2018,1.25
CODE ENFORCEMENT TRASH COLLECTION,1/23/2018,0.915178571
EMS RESPONSE TIME,1/23/2018,0.827586207
GRAFFITI ON-TIME %,1/23/2018,NA
HOMICIDES (TREND),1/23/2018,NA
LIBRARY USERS,1/23/2018,1.110454814
MISSED TRASH ON-TIME %,1/23/2018,1.176470588
PARKS MAINTENANCE ON-TIME %,1/23/2018,1.136363636
PART 1 CRIMES,1/23/2018,1.279448622
POTHOLE ON-TIME %,1/23/2018,1.004464286
SHOOTINGS (TREND),1/23/2018,0.904761905
SIGN INSTALLATION ON-TIME %,1/23/2018,1.09375
SIGNAL REPAIR ON-TIME %,1/23/2018,1.25
STABBINGS (TREND),1/23/2018,0.857142857
STREETLIGHT ON-TIME %,1/23/2018,0.833333333
TREE MAINTENANCE ON-TIME %,1/23/2018,1.169354839
311 CALL CENTER PERFORMANCE,1/24/2018,1.052631579
311 CONSTITUENT EXPERIENCE SURVEYS,1/24/2018,NA
BFD INCIDENTS,1/24/2018,10.74937343
BFD RESPONSE TIME,1/24/2018,0.925925926
BPS ATTENDANCE,1/24/2018,NA
CITY SERVICES SATISFACTION SURVEYS,1/24/2018,1.125
CODE ENFORCEMENT ON-TIME %,1/24/2018,1.223958333
CODE ENFORCEMENT TRASH COLLECTION,1/24/2018,1.166666667
EMS RESPONSE TIME,1/24/2018,0.978261401
GRAFFITI ON-TIME %,1/24/2018,NA
HOMICIDES (TREND),1/24/2018,NA
LIBRARY USERS,1/24/2018,1.080859266
MISSED TRASH ON-TIME %,1/24/2018,1.221590909
PARKS MAINTENANCE ON-TIME %,1/24/2018,1.125
PART 1 CRIMES,1/24/2018,1.389115646
POTHOLE ON-TIME %,1/24/2018,0.817307692
SHOOTINGS (TREND),1/24/2018,NA
SIGN INSTALLATION ON-TIME %,1/24/2018,0.909090909
SIGNAL REPAIR ON-TIME %,1/24/2018,1.25
STABBINGS (TREND),1/24/2018,0.857142857
STREETLIGHT ON-TIME %,1/24/2018,1.25
