"","zip_code","location","population","people_sq_mile"
"114","01731","42.457959, -71.279168","2,933","3,204.88"
"115","01880","42.504360, -71.064061","24,809","3,131.60"
"116","02368","42.176446, -71.051567","31,170","2,925.70"
"117","01801","42.488659, -71.154425","37,258","2,879.37"
"118","01960","42.534202, -70.969734","48,129","2,867.92"
"119","02462","42.330509, -71.259187","1,528","2,826.57"
"120","02451","42.401527, -71.253004","17,650","2,809.81"
"121","01128","42.092296, -72.489135","2,993","2,785.25"
"122","02726","41.759700, -71.144592","15,553","2,704.24"
"123","02062","42.187389, -71.192477","28,587","2,686.14"
"124","02720","41.727408, -71.114973","31,554","2,667.89"
"125","02494","42.296994, -71.225700","8,994","2,581.58"
"126","02482","42.292668, -71.298727","12,445","2,564.69"
"127","02481","42.308960, -71.266894","14,168","2,513.30"
"128","01020","42.172698, -72.561835","29,174","2,401.67"
"129","01867","42.535183, -71.105423","23,708","2,370.39"
"130","01915","42.566024, -70.857662","39,862","2,364.00"
"131","02184","42.205416, -71.002168","33,828","2,306.56"
"132","01906","42.470985, -71.018689","26,136","2,292.28"
"133","01510","42.414983, -71.684869","13,435","2,245.31"
"134","02026","42.246872, -71.179462","23,494","2,207.83"
"135","02745","41.700737, -70.950546","24,011","2,194.66"
"136","02492","42.275776, -71.247350","19,917","2,166.24"
"137","02190","42.165968, -70.952545","15,898","2,154.61"
"138","02420","42.455587, -71.218545","14,217","2,067.97"
"139","01129","42.119062, -72.487401","6,931","2,019.60"
"140","01760","42.284013, -71.348866","31,868","2,002.33"
"141","02382","42.078974, -70.939390","13,882","1,988.74"
"142","01754","42.425955, -71.456256","10,433","1,939.72"
"143","01844","42.742751, -71.178588","43,873","1,938.11"
"144","01803","42.503227, -71.201713","22,876","1,925.48"
"145","02763","41.966866, -71.308574","2,339","1,908.89"
"146","01832","42.791114, -71.132859","21,223","1,837.71"
"147","02186","42.241589, -71.082651","26,062","1,836.22"
"148","01863","42.632718, -71.393511","8,511","1,823.08"
"149","01923","42.574174, -70.950516","25,212","1,815.77"
"150","01757","42.155792, -71.518417","26,961","1,793.60"
"151","01701","42.321522, -71.437663","31,124","1,761.61"
"152","01040","42.211656, -72.642448","39,838","1,753.24"
"153","01089","42.125451, -72.649734","27,899","1,742.89"
"154","02370","42.130399, -70.910615","17,670","1,732.37"
"155","01835","42.751157, -71.094242","13,416","1,719.99"
"156","02421","42.438547, -71.239573","16,165","1,705.09"
"157","01950","42.803940, -70.877480","18,268","1,704.26"
"158","01821","42.551128, -71.252331","29,408","1,688.76"
"159","01830","42.796313, -71.053436","24,330","1,667.53"
"160","02072","42.119006, -71.103650","27,149","1,657.27"
"161","01752","42.349617, -71.547214","36,255","1,641.85"
"162","01106","42.045695, -72.563323","15,882","1,631.02"
"163","01749","42.389071, -71.545864","18,113","1,526.89"
"164","02703","41.931557, -71.295859","42,068","1,508.61"
"165","01545","42.284767, -71.714228","31,665","1,506.81"
"166","02601","41.662007, -70.294734","16,010","1,502.79"
"167","02032","42.156882, -71.216187","3,842","1,502.28"
"168","02343","42.148913, -71.003737","10,738","1,486.21"
"169","01242","42.336153, -73.245919","114","1,462.88"
"170","02780","41.909112, -71.118346","49,443","1,451.55"
"171","02351","42.121392, -70.957757","14,605","1,440.35"
"172","01438","42.563966, -72.034438","137","1,427.65"
"173","01420","42.601979, -71.815876","39,100","1,425.13"
"174","01060","42.324994, -72.634359","16,274","1,401.10"
"175","02760","41.972493, -71.335208","24,808","1,375.60"
"176","01876","42.611801, -71.227571","28,464","1,370.42"
"177","01824","42.590790, -71.355182","25,359","1,363.69"
"178","02558","41.749278, -70.657079","1,819","1,361.37"
"179","01826","42.679723, -71.300680","28,562","1,339.19"
"180","01001","42.064520, -72.630030","16,576","1,332.42"
"181","02632","41.661469, -70.347567","11,341","1,304.55"
"182","02664","41.674727, -70.195648","9,808","1,303.13"
"183","02719","41.641397, -70.872963","16,159","1,295.79"
"184","01453","42.520815, -71.768535","41,410","1,290.16"
"185","02090","42.219645, -71.216769","14,087","1,289.89"
"186","01887","42.559724, -71.166391","21,319","1,279.26"
"187","01913","42.851133, -70.954835","16,450","1,252.98"
"188","02639","41.663638, -70.136153","3,273","1,157.04"
"189","01721","42.257755, -71.473526","14,674","1,138.41"
"190","01930","42.631143, -70.687210","30,273","1,125.16"
"191","02725","41.722263, -71.178380","2,665","1,103.52"
"192","01862","42.578543, -71.295592","9,960","1,097.69"
"193","02038","42.084858, -71.410571","29,560","1,097.62"
"194","01940","42.534118, -71.038574","11,542","1,096.34"
"195","02048","42.017300, -71.217300","22,410","1,095.30"
"196","01570","42.047075, -71.845805","15,659","1,092.01"
"197","01747","42.124080, -71.533416","5,745","1,084.56"
"198","01028","42.059614, -72.501234","14,137","1,082.80"
"199","01966","42.653892, -70.621432","7,767","1,082.08"
"200","02053","42.155816, -71.432781","12,448","1,080.60"
"201","02644","41.683488, -70.510786","3,823","1,079.77"
"202","01030","42.072925, -72.686972","11,568","1,049.73"
"203","02081","42.148344, -71.258667","18,008","1,042.73"
"204","02021","42.175737, -71.125385","20,615","1,042.40"
"205","02066","42.199718, -70.762260","17,359","1,005.65"
"206","01845","42.673909, -71.091334","27,202","992.17"
"207","01864","42.581808, -71.092178","13,881","989.98"
"208","01080","42.172472, -72.377153","2,627","981.97"
"209","01720","42.483953, -71.438495","19,828","979.41"
"210","01810","42.648044, -71.161751","31,247","975.40"
"211","02673","41.658773, -70.242097","8,340","972.48"
"212","01501","42.198708, -71.846006","15,829","966.26"
"213","02322","42.132400, -71.053930","4,443","965.72"
"214","02356","42.060485, -71.124970","12,504","965.28"
"215","01075","42.256354, -72.580751","17,226","963.80"
"216","01730","42.499334, -71.281906","12,566","926.37"
"217","01588","42.116073, -71.666533","8,497","899.74"
"218","02324","41.972387, -70.978778","25,190","888.94"
"219","02043","42.215977, -70.885763","19,882","876.46"
"220","02339","42.122956, -70.856310","13,164","839.26"
"221","02556","41.639445, -70.624515","3,365","838.59"
"222","02052","42.184599, -71.305307","12,273","837.74"
"223","02050","42.113471, -70.714072","24,828","834.02"
"224","01550","42.059669, -72.034040","17,214","829.49"
"225","01440","42.586516, -71.988062","21,130","823.00"
"226","01778","42.360223, -71.360578","13,200","819.52"
"227","02019","42.076682, -71.474490","15,314","804.40"
"228","01581","42.269822, -71.613863","18,004","800.50"
"229","02661","41.676348, -70.039690","6","787.74"
"230","01527","42.192246, -71.777649","12,784","786.89"
"231","01504","42.039991, -71.532406","8,804","786.51"
"232","01532","42.324534, -71.648889","14,006","785.89"
"233","02540","41.569449, -70.627173","8,884","781.55"
"234","02660","41.714009, -70.152214","7,319","780.22"
"235","02532","41.764135, -70.581863","14,873","779.79"
"236","02035","42.063347, -71.246364","16,246","775.28"
