"","zip_code","location","population","people_sq_mile"
"91","01702","42.282104, -71.433224",35984,4077.52
"92","01013","42.161913, -72.602141",23148,3944.8
"93","01118","42.094084, -72.523531",14271,3889.75
"94","01104","42.133595, -72.568253",22383,3847.55
"95","02045","42.286478, -70.880226",11050,3717.66
"96","02466","42.344457, -71.248617",7030,3705.55
"97","01904","42.490743, -70.970914",17818,3676.64
"98","02459","42.314292, -71.194611",17856,3654.33
"99","01119","42.124978, -72.511210",13329,3653.99
"100","02188","42.204578, -70.957749",14493,3646.38
"101","02302","42.088123, -70.998293",32567,3644.72
"102","02191","42.241974, -70.935556",8704,3622.52
"103","02142","42.361280, -71.083753",2258,3585.63
"104","02468","42.329175, -71.231583",5738,3556.65
"105","02189","42.207403, -70.932728",14893,3486.74
"106","01908","42.427383, -70.924375",3632,3440.46
"107","01151","42.154810, -72.510255",8311,3379.26
"108","02452","42.392073, -71.218443",12457,3344.35
"109","01602","42.271396, -71.851229",23141,3312.98
"110","02180","42.474208, -71.097665",22214,3310.76
"111","01890","42.451818, -71.146557",20810,3308.85
"112","01607","42.225158, -71.790820",7273,3290.86
"113","01606","42.315886, -71.792982",19911,3214.07
"114","01731","42.457959, -71.279168",2933,3204.88
"115","01880","42.504360, -71.064061",24809,3131.6
"116","02368","42.176446, -71.051567",31170,2925.7
"117","01801","42.488659, -71.154425",37258,2879.37
"118","01960","42.534202, -70.969734",48129,2867.92
"119","02462","42.330509, -71.259187",1528,2826.57
"120","02451","42.401527, -71.253004",17650,2809.81
"121","01128","42.092296, -72.489135",2993,2785.25
"122","02726","41.759700, -71.144592",15553,2704.24
"123","02062","42.187389, -71.192477",28587,2686.14
"124","02720","41.727408, -71.114973",31554,2667.89
"125","02494","42.296994, -71.225700",8994,2581.58
"126","02482","42.292668, -71.298727",12445,2564.69
"127","02481","42.308960, -71.266894",14168,2513.3
"128","01020","42.172698, -72.561835",29174,2401.67
"129","01867","42.535183, -71.105423",23708,2370.39
"130","01915","42.566024, -70.857662",39862,2364
"131","02184","42.205416, -71.002168",33828,2306.56
"132","01906","42.470985, -71.018689",26136,2292.28
"133","01510","42.414983, -71.684869",13435,2245.31
"134","02026","42.246872, -71.179462",23494,2207.83
"135","02745","41.700737, -70.950546",24011,2194.66
"136","02492","42.275776, -71.247350",19917,2166.24
"137","02190","42.165968, -70.952545",15898,2154.61
"138","02420","42.455587, -71.218545",14217,2067.97
"139","01129","42.119062, -72.487401",6931,2019.6
"140","01760","42.284013, -71.348866",31868,2002.33
"141","02382","42.078974, -70.939390",13882,1988.74
"142","01754","42.425955, -71.456256",10433,1939.72
"143","01844","42.742751, -71.178588",43873,1938.11
"144","01803","42.503227, -71.201713",22876,1925.48
"145","02763","41.966866, -71.308574",2339,1908.89
"146","01832","42.791114, -71.132859",21223,1837.71
"147","02186","42.241589, -71.082651",26062,1836.22
"148","01863","42.632718, -71.393511",8511,1823.08
"149","01923","42.574174, -70.950516",25212,1815.77
"150","01757","42.155792, -71.518417",26961,1793.6
"151","01701","42.321522, -71.437663",31124,1761.61
"152","01040","42.211656, -72.642448",39838,1753.24
"153","01089","42.125451, -72.649734",27899,1742.89
"154","02370","42.130399, -70.910615",17670,1732.37
"155","01835","42.751157, -71.094242",13416,1719.99
"156","02421","42.438547, -71.239573",16165,1705.09
"157","01950","42.803940, -70.877480",18268,1704.26
"158","01821","42.551128, -71.252331",29408,1688.76
"159","01830","42.796313, -71.053436",24330,1667.53
"160","02072","42.119006, -71.103650",27149,1657.27
"161","01752","42.349617, -71.547214",36255,1641.85
"162","01106","42.045695, -72.563323",15882,1631.02
"163","01749","42.389071, -71.545864",18113,1526.89
"164","02703","41.931557, -71.295859",42068,1508.61
"165","01545","42.284767, -71.714228",31665,1506.81
"166","02601","41.662007, -70.294734",16010,1502.79
"167","02032","42.156882, -71.216187",3842,1502.28
"168","02343","42.148913, -71.003737",10738,1486.21
"169","01242","42.336153, -73.245919",114,1462.88
"170","02780","41.909112, -71.118346",49443,1451.55
"171","02351","42.121392, -70.957757",14605,1440.35
"172","01438","42.563966, -72.034438",137,1427.65
"173","01420","42.601979, -71.815876",39100,1425.13
"174","01060","42.324994, -72.634359",16274,1401.1
"175","02760","41.972493, -71.335208",24808,1375.6
"176","01876","42.611801, -71.227571",28464,1370.42
"177","01824","42.590790, -71.355182",25359,1363.69
"178","02558","41.749278, -70.657079",1819,1361.37
"179","01826","42.679723, -71.300680",28562,1339.19
"180","01001","42.064520, -72.630030",16576,1332.42
"181","02632","41.661469, -70.347567",11341,1304.55
"182","02664","41.674727, -70.195648",9808,1303.13
